classified,count,hex_x,title,body,msg,system,time,hex_y,planned work,error,test,pre-launch,police,accident,unplanned service change,contingency,planned service change,retraction,fire,buses replace trains,unauthorized vehicle,end disruption,flooding,power outage,signal,government,traffic,road conditions,high volume,service enhancement,station rehab,maintenance,equipment problem,unauthorized person,event,sick customer,update,non service,construction,weather,other agencies,other
accident,233889,391a1,"MANH, 6 train, Earlier Incident",         s/b 6  trains are running with delays due to an earlier incident. Allow additional travel time.                           4/23/15 7:54 AM             NYC           ,s/b 6  trains are running with delays due to an earlier incident. Allow additional travel time.,NYC,4/23/15 7:54,391a1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
end disruption,442200,6bf58,"MANH, A and D Trains, NYPD Activity","         Due to an earlier incident at 72 St,  A and D train service has resumed with delays.                          7/7/17 3:47 PM             NYC           ","Due to an earlier incident at 72 St,  A and D train service has resumed with delays.",NYC,7/7/17 15:47,6bf58,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
end disruption,421698,66f42,"SI, SIR Trains, Mechanical Problems","         Due to an earlier incident at Oakwood Hts,  SIR train service has resumed with delays.                          5/3/17 7:08 PM             NYC           ","Due to an earlier incident at Oakwood Hts,  SIR train service has resumed with delays.",NYC,5/3/17 19:08,66f42,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
end disruption,421126,66d06,"BKLYN, J Train, Sick passenger","         Due to an earlier incident at Chauncey St,  J train service has resumed with delays.                          5/2/17 12:40 PM             NYC           ","Due to an earlier incident at Chauncey St,  J train service has resumed with delays.",NYC,5/2/17 12:40,66d06,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
retraction,371690,5abea,5 Line - Weekday Planned Service Change CANCELLATION,"         The following planned service change is CANCELLED for one day only:10:15 AM to 3 PM,  Thursday,  Nov 3Flatbush Av-bound 5 service runs express from E 180 St to 3 Av-149 St.                          11/3/16 10:27 AM             NYC           ","The following planned service change is CANCELLED for one day only:10:15 AM to 3 PM,  Thursday,  Nov 3Flatbush Av-bound 5 service runs express from E 180 St to 3 Av-149 St.",NYC,11/3/16 10:27,5abea,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
end disruption,422057,670a9,"MANH, A, C and E Trains, Signal Problems","         Due to an earlier incident at Canal St,  A,  C and E train service has resumed with delays.                          5/4/17 5:41 PM             NYC           ","Due to an earlier incident at Canal St,  A,  C and E train service has resumed with delays.",NYC,5/4/17 17:41,670a9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
end disruption,386078,5e41e,"MANH, 1 Train, Mechanical problems","         Due to an earlier incident at 145 St,  1 train service has resumed with delays.                          12/28/16 8:55 AM             NYC           ","Due to an earlier incident at 145 St,  1 train service has resumed with delays.",NYC,12/28/16 8:55,5e41e,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
end disruption,450039,6ddf7,"BKLYN, G Trains, Earlier Incident-Loss of Power","         Due to an earlier loss of power at Metropolitan Av,  G train service has resumed with delays.                          8/13/17 1:35 AM             NYC           ","Due to an earlier loss of power at Metropolitan Av,  G train service has resumed with delays.",NYC,8/13/17 1:35,6ddf7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
non service,279591,44427,"Bx, Credit/Debit Transactions, System Maintenance","         From 9:30am to 2pm,  due to a system upgrade,  MVM's will only accept Cash transactions at the 205 St and Bedford Park Blvd Stations.                          10/27/15 9:11 AM             NYC           ","From 9:30am to 2pm,  due to a system upgrade,  MVM's will only accept Cash transactions at the 205 St and Bedford Park Blvd Stations.",NYC,10/27/15 9:11,44427,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
non service,334643,51b33,"BKLYN, Help Point Intercom, Scheduled Maintenance","         Today,  10am - 3pm,  21 St-Van Alst (G Line). The Help Point Intercom may be intermittently disabled due to scheduled maintenance. If you need immediate assistance,  see a token booth clerk.                          6/22/16 9:20 AM             NYC           ","Today,  10am - 3pm,  21 St-Van Alst (G Line). The Help Point Intercom may be intermittently disabled due to scheduled maintenance. If you need immediate assistance,  see a token booth clerk.",NYC,6/22/16 9:20,51b33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
